  HDFC BANK LTD
  Statement of Account - Savings Account ****9012
  Period: 01-Mar-2026 to 31-Mar-2026

Transaction Date,Value Date,Narration,Debit,Credit,Balance
2026-03-01,2026-03-01,NEFT-DROPLET OFFSHORE-SALARY-MAR26,,185000.00,342500.00
2026-03-02,2026-03-02,UPI/406587123/SWIGGY/yash@okicici,387.00,,342113.00
2026-03-05,2026-03-05,ATM WITHDRAWAL - MADHAPUR,5000.00,,337113.00
2026-03-10,2026-03-10,NEFT-RENT-APR-LANDLORD,22000.00,,315113.00
2026-03-15,2026-03-15,UPI/406591456/BIGBASKET/yash@okicici,1890.00,,313223.00
2026-03-20,2026-03-20,ECS-LIC-PREMIUM-QUARTERLY,4500.00,,308723.00
2026-03-25,2026-03-25,UPI/406595789/IRCTC/yash@okicici,2350.00,,306373.00
2026-03-28,2026-03-28,SIP-GROWW-AXIS BLUECHIP,5000.00,,301373.00
2026-03-29,2026-03-29,NACH-TSSPDCL-ELECTRICITY,1800.00,,299573.00
2026-03-31,2026-03-31,INT CREDIT - Q4 2026,,1250.00,300823.00
